[82.47775,-6.06518]
[83.81186,-6.12041]
[84.96255,-3.77418]
[85.97502,-3.75233]
[87.20465,0.17554]
[86.80274,-1.90567]
[86.44409,-4.17848]
[85.86483,-5.50912]
[85.67799,-6.39376]
[84.69896,-6.35073]
[84.07669,-0.63522]
[83.26954,-2.60585]
[83.36621,-2.30970]
[86.13862,-5.55946]
[86.82378,-3.19344]
[85.52023,-1.29591]
[84.73760,-1.95238]
[84.05117,-0.46017]
[83.06991,-1.03476]
[81.58167,-3.46018]
[82.40520,-4.18601]
[83.29770,-4.86188]
[83.77289,-5.36524]
[83.11120,-4.14048]
[82.82227,-2.77309]
[82.23214,-2.11347]
[80.48515,-2.41408]
[79.29255,-2.88913]
[78.21896,-2.86311]
[77.91381,-2.24980]
[77.20453,-2.78655]
[77.85610,-2.17688]
[78.08268,-2.25054]
[78.60586,-2.18161]
[79.05364,-4.01257]
[80.76400,-4.00537]
[81.73539,-4.01746]
[81.78510,-3.44225]
[82.97744,-2.84169]
[83.41275,-2.21141]
[84.80162,-3.72497]
[85.54542,-5.94645]
[84.83443,-7.16830]
[85.56437,-7.21914]
[86.10841,-5.92604]
[85.09889,-2.24541]
[84.46736,-1.40205]
[83.17954,-2.17263]
[83.33660,-3.74148]
[83.22426,-3.12994]
[83.68509,-2.52078]
[84.44649,-3.13043]
[85.86704,-2.82284]
[87.10044,-5.20601]
[87.63889,-4.37845]
[88.24273,-3.89767]
[89.24008,-3.91604]
[88.07813,-3.09547]
[85.06821,-1.49423]
[83.73241,-1.66489]
[83.75193,-2.95290]
[83.37113,-4.74133]
[80.85187,-4.68553]
[80.44347,-4.25808]
[77.95021,-0.65654]
[77.56136,0.09986]
[77.75143,0.76928]
[79.32259,-3.08641]
[80.61074,-3.26287]
[81.80882,-3.19117]
[81.41844,-3.31235]
[81.43087,-1.76621]
[80.41535,-4.08910]
[80.84805,-3.43840]
[82.35256,-3.42639]
[83.91509,-0.94629]
[85.02837,-1.85731]
[83.59639,-3.49767]
[83.34898,-6.28362]
[82.41438,-5.57164]
[82.20541,-5.22870]
[83.39141,-3.47735]
[83.78465,-3.34707]
[83.82236,-5.23479]
[84.90713,-3.54933]
[86.72673,-1.36029]
[87.81018,-1.34809]
[85.68769,1.06742]
[85.60678,0.27461]
[86.12973,-2.17950]
[87.98968,-6.79976]
[90.97407,-10.60645]
[88.99163,-8.82436]
[88.81864,-7.08268]
[87.25092,-4.07025]
[83.71702,-1.69723]
[83.53200,-3.65161]
[84.89106,-4.09331]
[85.19426,-4.32317]
[79.48290,1.46267]
[79.27490,-0.41854]
[79.80257,-1.33572]
[81.07209,-5.59220]
[81.92316,-4.96683]
[80.71117,-2.69308]
[80.06729,-3.18358]
[79.63978,-0.30916]
[79.32561,-2.43943]
[79.70004,-1.69909]
[80.45699,-2.30501]
[80.99824,-3.60559]
[81.15668,-2.65907]
[81.55129,-3.09081]
[80.97083,-2.27001]
[79.91752,-2.71501]
[80.25222,-2.00422]
[82.32166,-3.83311]
[83.55307,-4.89246]
[83.88550,-5.06199]
[86.16645,-3.73168]
[85.39777,-2.27499]
[83.63678,-2.09888]
[82.16328,-2.12546]
[82.31136,-3.00391]
[83.35000,-3.52386]
[84.47123,-3.36031]
[84.32855,-4.29908]
[83.57479,-5.02639]
[84.22121,-3.82559]
[86.69847,-1.56303]
[87.73306,-4.03878]
[88.15123,-8.24154]
[88.32282,-7.35495]
[84.57930,-5.22526]
[83.41988,-1.84149]
[84.13518,-2.86955]
[85.35159,-6.01079]
[85.10291,-3.58794]
[82.04111,-0.86597]
[81.02384,-0.92433]
[80.64181,-0.56529]
[80.65250,-2.20529]
[80.95097,-3.79321]
[80.61932,-2.96443]
[79.95913,-4.52861]
[80.36798,-3.71592]
[79.92755,-4.05444]
[79.11816,-2.78476]
[79.52384,-2.86977]
[79.78372,-1.81978]
[80.72753,-4.99837]
[81.36155,-4.04473]
[81.53691,-2.65984]
[82.09435,-2.77615]
[81.15802,-2.85406]
[82.97765,-4.10074]
[83.83672,-4.53354]
[83.79781,-5.02497]
[83.35335,-5.56737]
[82.76059,-6.36729]
[83.48341,-4.35968]
[84.96311,-3.49656]
[85.25459,-3.33866]
[84.87433,-1.65649]
[85.20148,-3.76012]
[88.35177,-3.48278]
[88.01260,-4.00983]
[87.93156,-5.18072]
[87.26548,-4.31727]
[86.66923,-2.88740]
[86.02403,-5.17811]
[84.24338,-7.43872]
[85.36314,-9.34652]
[84.08052,-5.23004]
[84.11955,-2.57389]
[85.28565,0.43966]
[84.23175,-1.09384]
[82.45928,-0.12710]
[80.65344,-1.08527]
[80.91582,-3.62168]
[81.62252,-5.57919]
[81.94014,-4.84613]
[82.18861,-4.68431]
[81.39239,-4.40574]
[81.66825,-4.23094]
[82.42342,-4.35549]
[83.38391,-6.28580]
[82.10750,-4.31711]
[81.54409,-2.88776]
[78.88997,-2.87931]
[79.37656,-3.10258]
[79.47934,-3.74854]
[80.56655,-1.66418]
[79.67313,-2.12105]
[79.33648,-3.74852]
[79.63154,-5.79408]
[79.43978,-4.55308]
[82.20493,-4.42830]
[82.98518,-2.04596]
[83.43156,-1.59747]
[84.93155,-0.95847]
[86.45235,-5.30511]
[87.46450,-6.73490]
[87.91394,-3.88349]
[87.91490,-6.37878]
[86.51929,-5.98111]
[85.82086,-5.82795]
[86.30325,-5.24154]
[86.70020,-5.64983]
[85.52139,-1.92258]
[84.69718,-0.88123]
[81.76671,-0.14725]
[80.40416,-0.91971]
[80.03482,-1.16107]
[80.16962,-1.89292]
[84.10888,-2.88317]
[84.45779,-5.29348]
[84.58201,-5.17014]
[83.11922,-4.36688]
[82.97355,-3.99374]
[83.30274,-3.19262]
[81.84337,-1.71297]
[80.45066,-1.80871]
[79.29654,-2.45854]
[78.49924,-4.29301]
[79.04122,-4.87604]
[79.21620,-3.50339]
[79.70370,-3.86147]
[80.70370,-3.86147]
[80.47976,-3.84360]
[81.00579,-2.69636]
[81.16733,-2.73318]
[81.00353,-3.85852]
[82.38896,-4.19850]
[82.88360,-1.81132]
[83.29740,-2.15318]
[83.38583,-4.91257]
[85.22829,-3.55410]
[85.76222,-4.73620]
[85.44384,-3.57794]
[85.02587,-4.26148]
[83.99140,-2.77994]
[85.15557,-5.63233]
[86.35437,-5.34894]
[87.21260,-4.12345]
[86.74586,-0.97205]
[87.03986,-0.58474]
[86.25887,-2.26711]
[84.66996,-2.59183]
[83.88738,-4.13975]
[84.70403,-5.30276]
[85.94451,-4.09886]
[85.73607,-4.59823]
[84.90829,-1.48368]
[84.46254,-2.88767]
[83.45580,-2.84285]
[83.91501,-3.72076]
[83.76097,-2.39749]
[82.51806,-2.94785]
[82.60716,-2.81905]
[80.32710,-2.70807]
[80.67520,-3.97029]
[81.05227,-5.28341]
[81.22753,-4.72641]
[81.02254,-6.19603]
[80.05881,-5.23176]
[80.12573,-1.84175]
[79.64083,-0.32190]
[79.15677,-0.40951]
